Code,Min,Q1,Median,Q3,Max,TotJobs,TotCU,PercentCU
Overall,1.0,128.0,384.0,1280.0,32768.0,266167,279293.7,100.0
cp2k,1.0,1.0,1.0,121.0,4096.0,15290,46746.1,16.7
VASP,1.0,128.0,384.0,1280.0,8192.0,61268,46175.7,16.5
Unidentified,1.0,144.0,1024.0,4096.0,32768.0,37789,40213.8,14.4
LAMMPS,1.0,128.0,512.0,1024.0,4096.0,8075,26723.3,9.6
CASTEP,1.0,128.0,128.0,512.0,6400.0,111846,23932.4,8.6
Gromacs,1.0,128.0,128.0,1664.0,4096.0,16851,11669.9,4.2
Met Office UM,12.0,1152.0,1152.0,1152.0,6272.0,674,10752.6,3.8
PDNS3D,128.0,2560.0,3200.0,3200.0,3200.0,55,10392.1,3.7
HANDE,1.0,4.0,4.0,4.0,4.0,50,7053.4,2.5
MITgcm,1.0,128.0,128.0,128.0,400.0,365,6380.2,2.3
CESM,48.0,48.0,48.0,48.0,288.0,210,6212.8,2.2
NEMO,1.0,456.0,456.0,1792.0,4864.0,3715,6019.0,2.2
Quantum Espresso,1.0,1024.0,1024.0,1024.0,1024.0,1721,5896.9,2.1
NAMD,1.0,64.0,512.0,2048.0,16384.0,1376,5664.9,2.0
incompact3d,1024.0,2048.0,2048.0,2048.0,2048.0,40,4734.8,1.7
AxiSEM3D,32.0,1280.0,1536.0,1536.0,2560.0,72,4277.8,1.5
FHI aims,8.0,384.0,768.0,1152.0,2560.0,3672,3902.9,1.4
OpenFOAM,2.0,512.0,512.0,640.0,640.0,153,2652.6,0.9
CRYSTAL,1.0,512.0,512.0,1024.0,1024.0,122,1672.5,0.6
Smilei,2.0,64.0,320.0,320.0,320.0,37,1381.5,0.5
ABINIT,2.0,384.0,384.0,384.0,550.0,21,1376.0,0.5
EPOCH,512.0,1920.0,1920.0,1920.0,2560.0,13,1222.6,0.4
GS2,64.0,1408.0,1408.0,1408.0,1408.0,86,791.4,0.3
Code_Saturne,256.0,768.0,768.0,2048.0,4096.0,11,771.5,0.3
USCNS3D,16.0,64.0,128.0,128.0,128.0,12,597.3,0.2
RMT,4.0,384.0,384.0,384.0,2304.0,207,396.2,0.1
ONETEP,1.0,64.0,64.0,64.0,64.0,208,301.4,0.1
Python,1.0,1.0,1.0,256.0,4096.0,1379,293.8,0.1
Nektar++,128.0,512.0,1024.0,1024.0,1024.0,67,257.8,0.1
Amber,128.0,128.0,128.0,128.0,128.0,23,242.2,0.1
OSIRIS,192.0,192.0,192.0,192.0,192.0,2,123.3,0.0
WRF,32.0,32.0,72.0,120.0,512.0,21,92.4,0.0
HemeLB,256.0,256.0,256.0,256.0,256.0,1,85.0,0.0
GPAW,128.0,128.0,128.0,256.0,384.0,182,84.2,0.0
PRECISE,32.0,1024.0,2048.0,2048.0,4096.0,45,69.8,0.0
ChemShell,1.0,256.0,256.0,256.0,512.0,14,52.6,0.0
HYDRA,1.0,128.0,512.0,512.0,1024.0,132,42.6,0.0
SENGA,729.0,729.0,729.0,729.0,729.0,3,17.3,0.0
TPLS,1.0,128.0,128.0,128.0,128.0,343,13.9,0.0
ECHAM,256.0,256.0,256.0,256.0,256.0,1,3.6,0.0
FVCOM,1.0,256.0,256.0,256.0,256.0,4,2.4,0.0
iIMB,256.0,256.0,256.0,256.0,256.0,1,1.2,0.0
NWChem,128.0,128.0,128.0,128.0,128.0,10,0.0,0.0
